Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,INTEW,-6
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,INTFR,-274
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,INTIFA2,-4
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,INTIRL,-420
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,INTNED,875
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,INTNEM,-80
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,INTNSL,286
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,INTVKL,-330
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,NPSHYD,680
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,NUCLEAR,3450
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,OCGT,0
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,OIL,0
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,OTHER,425
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,PS,1111
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,WIND,10757
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,BIOMASS,2986
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,CCGT,23771
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,COAL,1097
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,INTELEC,-50
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,INTEW,0
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,INTFR,-790
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,INTIFA2,-4
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,INTIRL,-395
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,INTNED,1003
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,INTNEM,-306
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,INTNSL,271
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,INTVKL,-200
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,NPSHYD,691
